id,video_path,duration_sec,first,middle,last,sparse,contact_sheet,error
vdcr_commons_mr27_000005,media/vdcr_commons_manual_round27_v1/vdcr_commons_mr27_000005.ogv,6.667,ok,ok,ok,8,ok,
vdcr_commons_mr27_000006,media/vdcr_commons_manual_round27_v1/vdcr_commons_mr27_000006.ogv,1.286,ok,ok,ok,8,ok,
vdcr_commons_mr28_000001,media/vdcr_commons_manual_round28_v1/vdcr_commons_mr28_000001.ogv,12.000,ok,ok,ok,8,ok,
vdcr_commons_mr28_000002,media/vdcr_commons_manual_round28_v1/vdcr_commons_mr28_000002.ogv,11.333,ok,ok,ok,8,ok,
vdcr_commons_mr28_000003,media/vdcr_commons_manual_round28_v1/vdcr_commons_mr28_000003.ogv,36.000,ok,ok,ok,8,ok,
vdcr_commons_mr28_000004,media/vdcr_commons_manual_round28_v1/vdcr_commons_mr28_000004.ogv,3.317,ok,ok,missing,7,ok,partial_frame_extraction
vdcr_commons_mr28_000005,media/vdcr_commons_manual_round28_v1/vdcr_commons_mr28_000005.webm,102.266,ok,ok,ok,8,ok,
vdcr_commons_mr29_000001,media/vdcr_commons_manual_round29_v1/vdcr_commons_mr29_000001.webm,29.810,ok,ok,ok,8,ok,
vdcr_commons_mr29_000002,media/vdcr_commons_manual_round29_v1/vdcr_commons_mr29_000002.webm,51.933,ok,ok,ok,8,ok,
vdcr_commons_mr30_000001,media/vdcr_commons_manual_round30_v1/vdcr_commons_mr30_000001.gif,8.000,ok,ok,missing,7,ok,partial_frame_extraction
vdcr_commons_mr30_000002,media/vdcr_commons_manual_round30_v1/vdcr_commons_mr30_000002.ogv,26.727,ok,ok,ok,8,ok,
vdcr_commons_mr30_000003,media/vdcr_commons_manual_round30_v1/vdcr_commons_mr30_000003.ogv,18.423,ok,ok,ok,8,ok,
vdcr_commons_mr30_000004,media/vdcr_commons_manual_round30_v1/vdcr_commons_mr30_000004.ogv,7.133,ok,ok,ok,8,ok,
vdcr_commons_mr30_000005,media/vdcr_commons_manual_round30_v1/vdcr_commons_mr30_000005.webm,7.100,ok,ok,ok,8,ok,
vdcr_commons_mr31_000001,media/vdcr_commons_manual_round31_v1/vdcr_commons_mr31_000001.webm,90.120,ok,ok,ok,8,ok,
vdcr_commons_mr31_000002,,,missing,missing,missing,0,missing,missing_video
vdcr_commons_mr31_000003,media/vdcr_commons_manual_round31_v1/vdcr_commons_mr31_000003.ogv,15.942,ok,ok,ok,8,ok,
vdcr_commons_mr31_000004,media/vdcr_commons_manual_round31_v1/vdcr_commons_mr31_000004.gif,4.000,ok,ok,missing,4,ok,partial_frame_extraction
vdcr_commons_mr31_000005,media/vdcr_commons_manual_round31_v1/vdcr_commons_mr31_000005.ogv,21.143,ok,ok,ok,8,ok,
vdcr_commons_mr32_000001,media/vdcr_commons_manual_round32_v1/vdcr_commons_mr32_000001.ogv,13.867,ok,ok,ok,12,ok,
vdcr_commons_mr32_000002,media/vdcr_commons_manual_round32_v1/vdcr_commons_mr32_000002.ogv,14.281,ok,ok,ok,12,ok,
vdcr_commons_mr32_000003,media/vdcr_commons_manual_round32_v1/vdcr_commons_mr32_000003.ogv,6.240,ok,ok,ok,12,ok,
vdcr_commons_mr32_000004,media/vdcr_commons_manual_round32_v1/vdcr_commons_mr32_000004.ogv,11.900,ok,ok,ok,12,ok,
vdcr_public_mr32_000001,media/vdcr_public_manual_round32_v1/vdcr_public_mr32_000001.mp4,157.024,ok,ok,ok,12,ok,
vdcr_commons_mr33_000001,media/vdcr_commons_manual_round33_v1/vdcr_commons_mr33_000001.ogv,76.732,ok,ok,ok,12,ok,
vdcr_commons_mr33_000002,media/vdcr_commons_manual_round33_v1/vdcr_commons_mr33_000002.ogv,31.640,ok,ok,ok,12,ok,
vdcr_commons_mr33_000003,media/vdcr_commons_manual_round33_v1/vdcr_commons_mr33_000003.ogv,56.023,ok,ok,ok,12,ok,
